hour,day_of_week,aqi_lag_1h,aqi_lag_24h,aqi_change_rate,Wind_Speed_kmh,PM2.5_ugm3,aqi
5,1,111,102,-2,3.9,28.6,109
6,1,109,103,-2,4,29.2,107
7,1,107,104,-1,4.1,33.3,106
8,1,106,104,-2,5.2,44.7,104
9,1,104,105,-1,4.5,45.2,103
10,1,103,105,-1,3.5,38.3,102
11,1,102,105,-1,2.2,29.3,101
12,1,101,106,-1,5.3,31.9,100
13,1,100,106,-1,8.5,33.8,99
14,1,99,107,0,10.5,33.2,99
15,1,99,108,-1,10.5,31.7,98
16,1,98,109,0,9.8,30.3,98
17,1,98,110,-1,8.6,25.3,97
18,1,97,111,-1,7,26.7,96
19,1,96,111,-1,6,31.1,95
20,1,95,112,0,5.4,33.9,95
21,1,95,113,0,6.1,36.1,95
22,1,95,114,0,4.5,38.1,95
23,1,95,115,0,3.8,37,95
0,2,95,115,0,5,33.6,95
1,2,95,114,0,4.8,30.4,95
2,2,95,113,-1,5.5,28,94
3,2,94,112,0,5.8,26.3,94
4,2,94,111,0,5.5,24.6,94
5,2,94,109,0,5.2,25.1,94
6,2,94,107,-1,5.9,25.4,93
7,2,93,106,0,6.6,28.5,93
8,2,93,104,0,6.8,36.7,93
9,2,93,103,-1,7,38.5,92
10,2,92,102,-1,5.3,30,91
11,2,91,101,0,2,24.3,91
12,2,91,100,-1,3.9,24.5,90
13,2,90,99,-1,6.7,26.6,89
14,2,89,99,0,7.6,27,89
15,2,89,98,-1,7.6,26.6,88
16,2,88,98,0,7.2,26.1,88
17,2,88,97,-1,8.4,27,87
18,2,87,96,1,8.9,27.8,88
19,2,88,95,0,7.7,31.1,88
20,2,88,95,0,7,32.9,88
21,2,88,95,0,5.7,35.2,88
22,2,88,95,0,6.7,37.5,88
23,2,88,95,-1,4.3,37.8,87
0,3,87,95,1,6.7,37,88
1,3,88,95,0,6.5,35.5,88
2,3,88,94,0,2.3,33.9,88
3,3,88,94,1,0.4,32.2,89
4,3,89,94,0,0.4,31.9,89
5,3,89,94,1,3.6,34.1,90
6,3,90,93,1,4.3,35.5,91
7,3,91,93,1,4.9,46,92
8,3,92,93,1,5.5,56.9,93
9,3,93,92,2,7.3,50.2,95
10,3,95,91,1,17.6,27.9,96
11,3,96,91,0,20.9,22.8,96
12,3,96,90,0,20.7,21.7,96
13,3,96,89,-1,15.4,20.8,95
14,3,95,89,0,23.2,20.5,95
15,3,95,88,-1,23.8,18.1,94
16,3,94,88,0,14.5,17.3,94
17,3,94,87,-1,9.5,19.2,93
18,3,93,88,-1,10.2,21.7,92
19,3,92,88,0,12.2,28,92
20,3,92,88,-1,15.2,30.9,91
21,3,91,88,0,17.7,31.5,91
22,3,91,88,0,18,28.2,91
23,3,91,87,-1,17.9,25.4,90
0,4,90,88,-1,17.4,23.5,89
1,4,89,88,-1,16.1,21.3,88
2,4,88,88,-2,16.6,19.8,86
3,4,86,89,-1,16.5,18.5,85
4,4,85,89,-1,14.3,18.3,84
5,4,84,90,-1,13.1,20.1,83
6,4,83,91,-1,13.5,27.5,82
7,4,82,92,-1,13.5,37.3,81
8,4,81,93,-1,14.8,47.3,80
9,4,80,95,-1,13,53.7,79
10,4,79,96,1,12.8,52.7,80
11,4,80,96,2,11,47.7,82
12,4,82,96,2,12.8,41.2,84
13,4,84,95,2,13.3,36.4,86
14,4,86,95,1,11.8,33.1,87
15,4,87,94,1,10.5,32.2,88
16,4,88,94,1,10.9,32,89
17,4,89,93,2,10.8,32.6,91
18,4,91,92,1,10.8,35.3,92
19,4,92,92,1,9.7,37.3,93
20,4,93,91,1,6.8,36.2,94
21,4,94,91,0,5.5,35.5,94
22,4,94,91,1,4.2,37.6,95
23,4,95,90,1,3.8,41.4,96
0,5,96,89,1,3.6,44.2,97
1,5,97,88,2,6.1,44.1,99
2,5,99,86,2,5.9,41.9,101
3,5,101,85,2,6.6,38.8,103
4,5,103,84,2,7.8,35.9,105
5,5,105,83,2,8.7,33.2,107
6,5,107,82,2,10.5,31.7,109
7,5,109,81,0,12.2,31.4,109
8,5,109,80,-1,12.5,31.5,108
9,5,108,79,-1,12.5,30.2,107
10,5,107,80,-3,12.2,26.6,104
11,5,104,82,-2,13.2,22.7,102
12,5,102,84,-3,16.3,18.2,99
13,5,99,86,-2,17.1,17.5,97
